farm_id,room_id,date,week,day_of_week,age_days,birds_start,mortality_daily,birds_end,cumulative_mortality,avg_weight_kg,daily_gain_kg,feed_kg_total,feed_kg_per_bird,water_liters_total,eggs_produced,avg_egg_weight_g,egg_grade_A_pct,temperature_c,humidity_pct,stress_index,feed_price_per_kg_usd,feed_cost_usd,med_cost_usd,energy_cost_usd,labor_cost_usd,other_costs_usd,total_costs_usd,egg_price_per_dozen_usd,egg_revenue_usd,profit_usd,fcr
FARM_V2,R01,2025-11-09,1,1,0,1000,2,998,2,0.037,0.0,10.202,0.0102,22.0,0,0.0,0.0,20.9,61.3,0.0,0.415,4.23,2.8,4.3,7.62,0.98,19.93,2.93,0.0,-19.93,0.0
FARM_V2,R01,2025-11-10,1,2,1,998,0,998,2,0.043,0.006,10.071,0.0101,18.962,0,0.0,0.0,23.1,58.8,0.0,0.417,4.2,2.0,4.53,8.33,1.91,20.97,2.75,0.0,-20.97,1.682
FARM_V2,R01,2025-11-11,1,3,2,998,3,995,5,0.062,0.018,10.408,0.0104,19.96,0,0.0,0.0,20.8,57.6,0.0,0.431,4.48,3.2,4.39,7.65,1.75,21.47,3.03,0.0,-21.47,0.579
FARM_V2,R01,2025-11-12,1,4,3,995,0,995,5,0.084,0.023,9.661,0.0097,23.88,0,0.0,0.0,21.5,58.5,0.0,0.427,4.13,1.99,4.54,8.32,1.84,20.82,3.11,0.0,-20.82,0.422
FARM_V2,R01,2025-11-13,1,5,4,995,2,993,7,0.111,0.026,13.774,0.0138,31.84,0,0.0,0.0,22.2,59.1,0.0,0.414,5.7,2.79,4.25,8.22,1.34,22.3,2.85,0.0,-22.3,0.532
FARM_V2,R01,2025-11-14,1,6,5,993,1,992,8,0.134,0.023,16.136,0.0162,37.734,0,0.0,0.0,21.5,67.5,0.0,0.427,6.88,2.39,4.35,7.73,1.12,22.47,3.09,0.0,-22.47,0.707
FARM_V2,R01,2025-11-15,1,7,6,992,1,991,9,0.151,0.017,18.483,0.0186,35.712,0,0.0,0.0,22.1,64.2,0.0,0.439,8.11,2.38,3.96,7.97,2.09,24.51,2.71,0.0,-24.51,1.096
FARM_V2,R01,2025-11-16,2,1,7,991,1,990,10,0.157,0.005,20.158,0.0203,46.577,0,0.0,0.0,20.7,65.3,0.0,0.425,8.58,2.38,4.2,7.82,0.85,23.83,3.12,0.0,-23.83,4.068
FARM_V2,R01,2025-11-17,2,2,8,990,1,989,11,0.167,0.009,19.227,0.0194,40.59,0,0.0,0.0,23.4,65.3,0.0,0.417,8.01,2.38,4.47,7.93,1.65,24.44,3.08,0.0,-24.44,2.158
FARM_V2,R01,2025-11-18,2,3,9,989,0,989,11,0.183,0.018,19.544,0.0198,40.549,0,0.0,0.0,21.8,63.4,0.0,0.424,8.29,1.98,4.44,7.82,2.13,24.66,2.84,0.0,-24.66,1.098
FARM_V2,R01,2025-11-19,2,4,10,989,0,989,11,0.215,0.031,22.533,0.0228,53.406,0,0.0,0.0,21.8,65.2,0.0,0.442,9.95,1.98,4.19,8.1,1.2,25.42,2.96,0.0,-25.42,0.735
FARM_V2,R01,2025-11-20,2,5,11,989,2,987,13,0.253,0.039,24.679,0.025,54.395,0,0.0,0.0,21.9,58.9,0.0,0.429,10.58,2.78,4.37,7.77,0.83,26.33,2.94,0.0,-26.33,0.64
FARM_V2,R01,2025-11-21,2,6,12,987,2,985,15,0.301,0.047,31.225,0.0316,57.246,0,0.0,0.0,20.7,59.2,0.0,0.435,13.58,2.77,3.97,7.78,1.43,29.53,3.09,0.0,-29.53,0.673
FARM_V2,R01,2025-11-22,2,7,13,985,0,985,15,0.356,0.054,36.439,0.037,82.74,0,0.0,0.0,22.7,63.5,0.0,0.425,15.47,1.97,4.6,7.7,1.79,31.53,3.08,0.0,-31.53,0.685
FARM_V2,R01,2025-11-23,3,1,14,985,2,983,17,0.422,0.065,39.132,0.0397,75.845,0,0.0,0.0,23.3,68.5,0.0,0.428,16.77,2.77,4.13,8.26,2.26,34.19,3.0,0.0,-34.19,0.611
FARM_V2,R01,2025-11-24,3,2,15,983,2,981,19,0.481,0.063,48.958,0.0498,89.453,0,0.0,0.0,23.3,65.2,0.0,0.431,21.13,2.77,4.64,7.67,2.11,38.32,2.98,0.0,-38.32,0.791
FARM_V2,R01,2025-11-25,3,3,16,981,0,981,19,0.554,0.07,52.52,0.0535,103.986,0,0.0,0.0,21.0,63.8,0.0,0.43,22.56,1.96,4.52,8.01,2.27,39.32,3.17,0.0,-39.32,0.765
FARM_V2,R01,2025-11-26,3,4,17,981,1,980,20,0.63,0.077,58.489,0.0596,116.739,0,0.0,0.0,23.5,63.3,0.0,0.432,25.26,2.36,4.06,8.06,1.72,41.46,3.18,0.0,-41.46,0.774
FARM_V2,R01,2025-11-27,3,5,18,980,1,979,21,0.703,0.079,69.09,0.0705,136.22,0,0.0,0.0,22.6,69.2,0.0,0.437,30.21,2.36,4.47,7.98,2.17,47.19,2.98,0.0,-47.19,0.892
FARM_V2,R01,2025-11-28,3,6,19,979,1,978,22,0.764,0.068,76.641,0.0783,184.052,0,0.0,0.0,21.1,64.0,0.0,0.432,33.12,2.36,4.22,8.33,2.27,50.3,2.79,0.0,-50.3,1.151
FARM_V2,R01,2025-11-29,3,7,20,978,2,976,24,0.835,0.068,82.326,0.0842,188.754,0,0.0,0.0,21.4,59.9,0.0,0.426,35.05,2.76,4.62,8.2,1.84,52.47,2.78,0.0,-52.47,1.238
FARM_V2,R01,2025-11-30,4,1,21,976,0,976,24,0.893,0.057,86.271,0.0884,215.696,0,0.0,0.0,23.7,68.1,0.0,0.444,38.29,1.95,4.01,7.77,2.67,54.69,2.96,0.0,-54.69,1.551
FARM_V2,R01,2025-12-01,4,2,22,976,1,975,25,0.958,0.057,95.483,0.0978,224.48,0,0.0,0.0,22.9,69.6,0.0,0.438,41.81,2.35,4.79,8.0,1.46,58.41,3.11,0.0,-58.41,1.716
FARM_V2,R01,2025-12-02,4,3,23,975,0,975,25,1.014,0.052,103.793,0.1065,239.85,0,0.0,0.0,23.5,66.0,0.0,0.437,45.36,1.95,4.36,7.64,1.71,61.02,3.26,0.0,-61.02,2.047
FARM_V2,R01,2025-12-03,4,4,24,975,0,975,25,1.057,0.039,99.571,0.1021,237.9,0,0.0,0.0,22.6,70.3,0.002,0.435,43.31,1.95,4.58,7.9,2.33,60.07,3.21,0.0,-60.07,2.619
FARM_V2,R01,2025-12-04,4,5,25,975,0,975,25,1.115,0.049,112.614,0.1155,278.85,0,0.0,0.0,23.3,66.9,0.0,0.433,48.81,1.95,4.66,8.18,1.83,65.43,3.19,0.0,-65.43,2.357
FARM_V2,R01,2025-12-05,4,6,26,975,0,975,25,1.129,0.023,106.029,0.1087,221.325,0,0.0,0.0,23.9,69.7,0.0,0.435,46.12,1.95,4.67,8.08,2.46,63.28,3.09,0.0,-63.28,4.728
FARM_V2,R01,2025-12-06,4,7,27,975,2,973,27,1.166,0.03,111.282,0.1141,219.375,0,0.0,0.0,23.7,68.5,0.0,0.426,47.4,2.75,4.44,7.7,1.8,64.09,3.22,0.0,-64.09,3.805
FARM_V2,R01,2025-12-07,5,1,28,973,2,971,29,1.152,-0.003,85.607,0.088,194.6,0,0.0,0.0,23.6,58.8,0.0,0.444,38.02,2.75,4.47,8.28,1.66,55.18,2.94,0.0,-55.18,0.0
FARM_V2,R01,2025-12-08,5,2,29,971,3,968,32,1.161,-0.0,94.175,0.097,227.214,0,0.0,0.0,23.0,68.1,0.0,0.439,41.34,3.14,4.12,7.99,1.61,58.2,3.14,0.0,-58.2,0.0
FARM_V2,R01,2025-12-09,5,3,30,968,1,967,33,1.185,0.019,89.744,0.0927,215.864,0,0.0,0.0,22.0,68.3,0.0,0.434,38.98,2.34,4.76,7.66,1.36,55.1,2.85,0.0,-55.1,4.88
FARM_V2,R01,2025-12-10,5,4,31,967,2,965,35,1.203,0.025,88.32,0.0913,206.938,0,0.0,0.0,23.5,68.1,0.0,0.446,39.42,2.73,4.2,8.15,1.73,56.23,3.16,0.0,-56.23,3.653
FARM_V2,R01,2025-12-11,5,5,32,965,1,964,36,1.224,0.026,94.088,0.0975,230.635,0,0.0,0.0,22.4,63.9,0.0,0.434,40.8,2.33,4.89,8.05,2.26,58.33,3.0,0.0,-58.33,3.75
