farm_id,farm_name,room_id,date,week,day_of_week,age_days,birds_start,mortality_daily,birds_end,cumulative_mortality,mortality_rate,avg_weight_kg,daily_gain_kg,feed_kg_total,feed_kg_per_bird,water_liters_total,eggs_produced,avg_egg_weight_g,egg_grade_a_pct,temperature_c,humidity_pct,stress_index,health_event,feed_price_per_kg_usd,feed_cost_usd,med_cost_usd,energy_cost_usd,labor_cost_usd,other_costs_usd,total_costs_usd,egg_price_per_dozen_usd,egg_revenue_usd,profit_usd,fcr
FARM_001,Joseph's Farm,Room 1,2024-01-01,1,1,0,1000,0,1000,0,0.0,0.043,0.0,19.87,0.0199,42.2,0,0.0,0.0,16.7,63.2,0.049,normal,0.391,7.77,2.5,7.08,12.24,2.42,32.01,2.79,0.0,-32.01,0.0
FARM_001,Joseph's Farm,Room 2,2024-01-01,1,1,0,1000,3,997,3,0.3,0.043,0.0,21.63,0.0216,44.1,0,0.0,0.0,17.3,65.1,0.027,normal,0.391,8.46,2.5,6.86,12.37,2.61,32.8,2.79,0.0,-32.8,0.0
FARM_001,Joseph's Farm,Room 3,2024-01-01,1,1,0,1000,0,1000,0,0.0,0.043,0.0,21.15,0.0211,45.4,0,0.0,0.0,17.3,67.6,0.027,normal,0.391,8.27,2.5,6.86,12.09,2.6,32.32,2.79,0.0,-32.32,0.0
FARM_001,Joseph's Farm,Room 4,2024-01-01,1,1,0,1000,0,1000,0,0.0,0.043,0.0,20.07,0.0201,38.4,0,0.0,0.0,14.6,67.5,0.129,normal,0.391,7.85,2.5,7.85,12.16,2.43,32.79,2.79,0.0,-32.79,0.0
FARM_001,Joseph's Farm,Room 1,2024-01-02,1,2,1,1000,2,998,2,0.2,0.045,0.0018,21.13,0.0211,39.5,0,0.0,0.0,15.3,63.8,0.102,normal,0.392,8.28,2.5,7.59,12.27,2.33,32.97,2.8,0.0,-32.97,11.739
FARM_001,Joseph's Farm,Room 2,2024-01-02,1,2,1,997,0,997,3,0.3,0.046,0.0022,21.55,0.0216,45.5,0,0.0,0.0,17.4,69.0,0.023,normal,0.392,8.45,2.49,6.82,11.67,2.27,31.7,2.8,0.0,-31.7,9.825
FARM_001,Joseph's Farm,Room 3,2024-01-02,1,2,1,1000,2,998,2,0.2,0.045,0.0021,20.51,0.0205,42.3,0,0.0,0.0,14.5,65.4,0.133,normal,0.392,8.04,2.5,7.88,11.87,2.71,33.0,2.8,0.0,-33.0,9.767
FARM_001,Joseph's Farm,Room 4,2024-01-02,1,2,1,1000,0,1000,0,0.0,0.046,0.0025,21.08,0.0211,45.5,0,0.0,0.0,14.7,67.0,0.125,normal,0.392,8.26,2.5,7.81,11.88,2.36,32.81,2.8,0.0,-32.81,8.432
FARM_001,Joseph's Farm,Room 1,2024-01-03,1,3,2,998,0,998,2,0.2,0.053,0.0074,21.12,0.0212,44.7,0,0.0,0.0,16.5,61.5,0.057,normal,0.392,8.28,2.5,7.15,11.91,2.28,32.12,2.8,0.0,-32.12,2.86
FARM_001,Joseph's Farm,Room 2,2024-01-03,1,3,2,997,0,997,3,0.3,0.052,0.0057,19.82,0.0199,41.4,0,0.0,0.0,17.5,67.6,0.019,normal,0.392,7.77,2.49,6.78,12.22,2.52,31.78,2.8,0.0,-31.78,3.488
FARM_001,Joseph's Farm,Room 3,2024-01-03,1,3,2,998,1,997,3,0.3,0.051,0.0057,21.8,0.0218,46.9,0,0.0,0.0,16.0,64.2,0.076,normal,0.392,8.55,2.5,7.33,11.72,2.5,32.6,2.8,0.0,-32.6,3.832
FARM_001,Joseph's Farm,Room 4,2024-01-03,1,3,2,1000,0,1000,0,0.0,0.052,0.006,21.13,0.0211,39.3,0,0.0,0.0,17.3,75.0,0.067,normal,0.392,8.28,2.5,6.86,12.32,2.52,32.48,2.8,0.0,-32.48,3.522
